,Product Name,Price,Quantity,Discount,Prize badge,Product Link,Product pid
1792,Herédias Douro Vinho Tinto,8.49,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/heredias-douro-vinho-tinto-heredias-7695642.html,7695642
1793,Sidónio de Sousa Merlot Beiras Vinho Tinto,12.45,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/sidonio-de-sousa-merlot-beiras-vinho-tinto-sidonio-de-sousa-7695386.html,7695386
1794,Somontes Reserva Dão Vinho Tinto,8.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/somontes-reserva-dao-vinho-tinto-casa-da-passarella-7770764.html,7770764
1795,Quinta do Javali Clos Fonte do Santo Cherry Cap Douro Vinho Tinto,30.20,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-javali-clos-fonte-do-santo-cherry-cap-douro-vinho-tinto-quinta-do-javali-7770424.html,7770424
1796,Folha do Meio Grande Reserva Alentejo Vinho Tinto,43.80,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/folha-do-meio-grande-reserva-alentejo-vinho-tinto-folha-do-meio-7771069.html,7771069
1797,Malhadinha Alentejo Vinho Branco,34.40,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/malhadinha-alentejo-vinho-branco-malhadinha-7695527.html,7695527
1798,Caves Santa Marta Vinho do Porto Tawny,7.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/caves-santa-marta-vinho-do-porto-tawny-caves-santa-marta-7768906.html,7768906
1799,Quinta do Margarido Reserva Alfrocheiro Dão Vinho Tinto,14.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-margarido-reserva-alfrocheiro-dao-vinho-tinto-quinta-do-margarido-7770649.html,7770649
1800,Quinta Maria Izabel Vinhas da Princesa Douro Vinho Tinto,74.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-maria-izabel-vinhas-da-princesa-douro-vinho-tinto-quinta-maria-izabel-7770442.html,7770442
1801,Vinha da Foz Douro Vinho Tinto,6.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/vinha-da-foz-douro-vinho-tinto-vinha-da-foz-7695734.html,7695734
1802,Quinta do Cume Reserva Douro Vinho Tinto,20.19,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-cume-reserva-douro-vinho-tinto-quinta-do-cume-7695484.html,7695484
1803,Barão de Vilar Vinho do Porto LBV 2017,14.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/barao-de-vilar-vinho-do-porto-lbv-2017-barao-de-vilar-7768637.html,7768637
1804,Quinta do Estanho Vinho do Porto 40 anos Tawny,134.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-estanho-vinho-do-porto-40-anos-tawny-quinta-do-estanho-7695190.html,7695190
1805,Quinta do Javali Vinho do Porto LBV 2014,32.70,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/quinta-do-javali-vinho-do-porto-lbv-2014-quinta-do-javali-7768774.html,7768774
1806,Zom Superior Douro Vinho Tinto,7.79,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/zom-superior-douro-vinho-tinto-zom-7770152.html,7770152
1807,Lima Mayer Subsídio Alentejo Vinho Tinto,7.29,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/lima-mayer-subsidio-alentejo-vinho-tinto-lima-mayer-7771074.html,7771074
1808,Bulas Colheita Douro Vinho Tinto,9.09,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/bulas-colheita-douro-vinho-tinto-bulas-7696127.html,7696127
1809,Encosta da Capela Alvarinho Reserva Vinho Verde Branco,9.59,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/encosta-da-capela-alvarinho-reserva-vinho-verde-branco-encosta-da-capela-7769369.html,7769369
1810,Vale dos Barris Regional Península de Setúbal Vinho Rosé,2.29,garrafa 75 cl,30,n/a,https://www.continente.pt/produto/vale-dos-barris-regional-peninsula-de-setubal-vinho-rose-vale-dos-barris-4733136.html,4733136
1811,Henriques & Henriques 50 anos Tinta Negra DOC Madeira Vinho da Madeira,249.00,garrafa 50 cl,n/a,premiado,https://www.continente.pt/produto/henriques-henriques-50-anos-tinta-negra-doc-madeira-vinho-da-madeira-henriques-henriques-7682107.html,7682107
1812,Quinta de São Luiz Vinhas Velhas Grande Reserva DOC Douro Vinho Tinto,48.00,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/quinta-de-sao-luiz-vinhas-velhas-grande-reserva-doc-douro-vinho-tinto-kopke-7141100.html,7141100
1813,Rubrica Regional Alentejano Vinho Branco,10.39,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/rubrica-regional-alentejano-vinho-branco-rubrica-7454250.html,7454250
1814,Cockburn's Vinho do Porto Fine White,6.49,garrafa 75 cl,n/a,n/a,https://www.continente.pt/produto/cockburns-vinho-do-porto-fine-white-cockburns-7213617.html,7213617
1815,Herédias Porto Vintage 2019,83.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/heredias-porto-vintage-2019-heredias-7768737.html,7768737
1816,Niepoort 30 Anos Vinho do Porto Tawny,155.00,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/niepoort-30-anos-vinho-do-porto-tawny-niepoort-7695138.html,7695138
1817,José Piteira Talha Alentejo Vinho Tinto,13.89,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/jose-piteira-talha-alentejo-vinho-tinto-jose-piteira-7695402.html,7695402
1818,Conde de Anadia Reserva DOC Dão Vinho Branco,17.89,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/conde-de-anadia-reserva-doc-dao-vinho-branco-conde-de-anadia-7682149.html,7682149
1819,Howards Folly Carcavelos Licoroso 1991,61.00,garrafa 50 cl,n/a,premiado,https://www.continente.pt/produto/howards-folly-carcavelos-licoroso-1991-howards-folly-7695978.html,7695978
1820,Ramos Pinto Adriano Vinho do Porto Reserva Tawny,13.99,garrafa 75 cl,n/a,premiado,https://www.continente.pt/produto/ramos-pinto-adriano-vinho-do-porto-reserva-tawny-ramos-pinto-7768902.html,7768902
